,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
140,Carex hystericina,CAHY4,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,1.0,No,No,No,Graminoid (perennial),Carex hystericina,Bottlebrush Sedge,Cyperaceae,"L48 (N), CAN (N)","AR, AZ, CA, CO, CT, DC, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse,,No,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
141,Carex lupulina,CALU4,1,0,1,0,0,6,0,,ErnstSeed.com,Longwood Gardens,No,,2.8,No,Yes,No,Graminoid (perennial),Carex lupulina,Hop Sedge,Cyperaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse,Green,No,Apr–May,4.5,Long,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,Medium,,None,6.2–7,Medium,Moderate,Spring,None,No,Low,Low,/Medium,"Seed, Sprig",Available 2017,Low,Larval Food,Larval Host (Butterfly); Wind,,,,,,,,,,Yes,,"Satryodes eurydice, Satyrodes eurydice",,,Yes
142,Carex lurida,CALU5,1,0,1,0,0,6,0,,ErnstSeed.com,Longwood Gardens,No,,2.0,No,No,No,Graminoid (perennial),Carex lurida,Shallow Sedge,Cyperaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse,Green,No,Apr–May,3.2,Long,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,Medium,,None,4.9–6.8,Medium,Moderate,Spring,None,No,Low,Medium,/Medium,"Seed, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
143,Carex nebrascensis,CANE2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,1.0,No,No,No,Graminoid (perennial),Carex nebrascensis,Nebraska Sedge,Cyperaceae,"L48 (N), CAN (N)","AZ, CA, CO, ID, IL, KS, MO, MT, ND, NE, NM, NV, OR, PA, SD, UT, WA, WI, WY",Workhorse,Green,No,May–Jun,3,Long,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,Low,5.7–7.4,Low,Moderate,"Spring, Summer",None,No,None,High,Medium/High,"Seed, Bare root, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
144,Carex pensylvanica,CAPE6,1,1,1,0,9,5,0,"Bowman's New Hope, Collins Glenside, Earthbound Ephrata, Gino's Newtown, Good Host Plants Philly, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,4.0,No,No,No,Graminoid (perennial),Carex pensylvanica,Pennsylvania Sedge,Cyperaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Workhorse,,No,,,,,,,,,,,,,,,,,,,,,,,Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
145,Carex praegracilis,CAPR5,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.0,No,No,No,Graminoid (perennial),Carex praegracilis,Clustered Field Sedge,Cyperaceae,"L48 (N), AK (N), CAN (N)","AK, AZ, CA, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, UT, VA, VT, WA, WI, WY",Workhorse,Green,No,May–Jun,2,Long,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist",Medium,,None,5.3–6.8,Low,Moderate,"Spring, Summer",None,No,Low,High,Low/Low,"Seed, Bare root, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
146,Carex scoparia,CASC11,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,1.0,No,No,No,Graminoid (perennial),Carex scoparia,Broom Sedge,Cyperaceae,"L48 (N), CAN (N), SPM (N)","AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY",Workhorse,Green,No,May–Jun,2.5,Long,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist",High,,Low,4.6–6.9,Medium,Moderate,"Spring, Summer",None,No,None,High,Low/Low,"Seed, Bare root, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
147,Carex stipata,CAST5,1,1,1,0,1,5,0,Keystone Robesonia,ErnstSeed.com,Longwood Gardens,No,,3.0,No,No,No,Graminoid (perennial),Carex stipata,Awlfruit Sedge,Cyperaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, AL, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY",Workhorse,Green,No,Apr–May,3.5,Moderate,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade, Shade",Wet,Medium,,Low,4.9–7.9,Medium,Slow,"Spring, Summer",None,No,Low,High,Medium/Low,"Seed, Bare root, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
148,Carex stricta,CAST8,1,1,1,0,5,6,0,"Edge ot Woods Orefield, Gino's Newtown, Good Host Plants Philly, Keystone Robesonia, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,6.2,No,Yes,No,Graminoid (perennial),Carex stricta,Upright Sedge,Cyperaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY",Workhorse/Pollinator,Green,No,Apr–May,4,Long,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade, Shade",Wet,Medium,,None,3.5–7,Medium,Moderate,Spring,None,No,Low,Low,/Medium,"Seed, Sprig",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Euphyes conspicua, Euphyes conspicuus, Neonympha mithcellii, Poanes massasoit, Satryodes eurydice, Satyrodes applachia, Satyrodes eurydice, Spartiniphaga includens",,,Yes
149,Carex vulpinoidea,CAVU2,1,1,1,0,3,6,0,"Archewild Quakertown, Gino's Newtown, Good Host Plants Philly",ErnstSeed.com,Longwood Gardens,No,,5.0,No,No,No,Graminoid (perennial),Carex vulpinoidea,Fox Sedge,Cyperaceae,"L48 (N), CAN (N), SPM (N)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY",Workhorse,Green,No,Apr–May,3.2,Long,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,Medium,,None,6.8–8.9,Medium,Moderate,Spring,None,No,Low,Low,/Medium,"Seed, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
150,Carpinus caroliniana,CACA18,1,1,1,0,10,5,0,"Archewild Quakertown, Bowman's New Hope, Collins Glenside, Earthbound Ephrata, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Hungry Hook Bainbridge, Musser Indiana, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.2,No,Yes,No,"Tree, Shrub",Carpinus caroliniana,American Hornbeam,Betulaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Orange,Yes,Apr–May,30,Short,Multiple Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist, Dry",Medium,,None,4–7.4,Medium,Slow,"Spring, Summer",Low,Yes,Low,Low,Low/Low,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acrobasis carpinivorella, Acronicta grisea, Anisota virginiensis, Antheraea polyphemus polyphemus, Apatelodes torrefacta, Apoda y-inversum, Automeris io, Automeris io io, Baileya dormitans, Baileya ophthalmica, Besma endropiaria, Cameraria corylisella, Cameraria ostryarella, Crocigrapha normani, Crocigrapha normani, Datana ministra, Eacles imperialis, Ectoedemia quadrinotata, Ennomos subsignaria, Erannis tiliaria, Eupsilia tristigmata, Halysidota tessellaris, Heterocampa guttivitta, Heterocampa umbrata, Hyalophora cecropia, Hyphantria cunae, Limenitis arthemis arizonensis, Limenitis arthemis arthemis, Limenitis arthemis rubrofasciata, Lomographa vestaliata, Lophocampa caryae, Lymantria dispar, Malacosoma americana, Malacosoma disstria, Menesta tortriciformella, Morrisonia confusa, Nemoria mimosaria, Pandemis lamprosana, Paonias excaecata, Papilio glaucus, Papilio glaucus glaucus, Phigalia titea, Probole amicaria, Satyrium liparops, Schizura leptinoides, Smerinthus jamaicensis, Sparganothis pettitana, Zale minerea, Zale minerea norda",,,Yes
151,Carya cordiformis,CACO15,1,1,0,0,1,4,0,Go Native Trees,PlantMoreNatives.com,Longwood Gardens,No,,6.2,No,Yes,No,Tree,Carya cordiformis,Bitternut Hickory,Juglandaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,Green,No,Apr–May,75,Moderate,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,None,4.8–7.4,Medium,Slow,"Spring, Summer",None,Yes,High,Medium,Low/Low,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acrobasis angusella, Acrobasis caryae, Acrobasis caryivorella, Acrobasis juglandis, Acrobasis kearfottella, Actias luna luna, Amorpha juglandis, Amphipyra pyramidoides, Antheraea polyphemus polyphemus, Argyrotaenia juglandana, Cameraria caryaefoliella, Catocala agrippina, Catocala nebulosa, Catocala subnata, Coleophora ostryae, Euclea delphinii, Lithophane bethunei, Lophocampa caryae, Lymantria dispar, Satyrium caryaevorum, Xanthotype sospeta",,,Yes
152,Carya glabra,CAGL8,1,1,1,0,1,4,0,Go Native Trees,PlantMoreNatives.com,Longwood Gardens,No,,6.2,No,Yes,No,Tree,Carya glabra,Pignut Hickory,Juglandaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Workhorse/Pollinator,Yellow,No,Apr–May,80,Moderate,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,None,4.8–7.3,Medium,Slow,"Spring, Summer",None,Yes,High,Medium,Low/Low,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acrobasis angusella, Acrobasis caryabella, Acrobasis caryae, Acrobasis kearfottella, Acrobasis stigmella, Actias luna luna, Antheraea polyphemus polyphemus, Cameraria caryaefoliella, Catocala dejecta, Catocala epione, Catocala flebilis, Catocala insolabilis, Catocala palaeogama, Catocala piatrix, Catocala residua, Catocala retecta, Catocala sappho, Citheronia regalis, Citheronia splendens sinaloensis, Coleophora ostryae, Ennomos subsignaria, Hyalophora cecropia, Hyphantria cunae, Lophocampa caryae, Lymantria dispar, Paleacrita vernata, Satyrium calanus, Satyrium caryaevorum, Schizura concinna",,,Yes
153,Carya ovata,CAOV2,1,1,1,0,4,6,0,"Archewild Quakertown, Edge ot Woods Orefield, Go Native Trees, Musser Indiana",ErnstSeed.com,Longwood Gardens,No,,7.2,No,Yes,No,Tree,Carya ovata,Shagbark Hickory,Juglandaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Yellow,No,May–Jun,75,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,Low,4–7.3,Medium,Slow,"Spring, Summer",None,Yes,Medium,Medium,Low/Low,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acrobasis angusella, Acrobasis caryabella, Acrobasis caryae, Acrobasis feltella, Acrobasis kearfottella, Acrobasis palliolella, Acrobasis stigmella, Agonopterix eupatoriiella, Alsophila pometaria, Argyrotaenia juglandana, Cameraria caryaefoliella, Catocala angusi, Catocala dejecta, Catocala epione, Catocala flebilis, Catocala habilis, Catocala judith, Catocala obscura, Catocala palaeogama, Catocala relicta, Catocala residua, Catocala retecta, Catocala robinsonii, Catocala serena, Catocala vidua, Coleophora laticornella, Cydia caryana, Datana angusii, Datana integerrima, Dichomeris ligulella, Himella fidelis, Hyphantria cunae, Lophocampa maculata, Phlyctaenia coronata tertialis, Pseudexentera caryana, Psilocorsis reflexella, Satyrium calanus, Satyrium caryaevorum",,,Yes
154,Castanea dentata,CADE12,1,1,1,0,3,4,0,"Go Native Trees, Musser Indiana, Perennial New Bloomfield",PlantMoreNatives.com,Longwood Gardens,No,,7.2,No,Yes,No,Tree,Castanea dentata,American Chestnut,Fagaceae,"L48 (N), CAN (N)","AL, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Pollinator,White,No,Jun–Jul,115,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,Medium,None,5.5–6.5,Medium,Rapid,Spring,None,Yes,Medium,None,Low/Low,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acronicta americana, Acronicta lithospila, Acronicta ovata, Actias luna luna, Alsophila pometaria, Amorbia humerosana, Amphipyra pyramidoides, Anisota senatoria, Anisota stigma, Anisota virginiensis, Antheraea polyphemus polyphemus, Besma endropiaria, Cameraria bethunella, Cameraria castaeaneella, Colocasia propinquilinea, Datana ministra, Dichomeris ligulella, Dichomeris ventrella, Dyseriocrania griseocapitella, Eacles imperialis, Ennomos magnaria, Ennomos subsignaria, Erynnis brizo, Euproctis chrysorrhoea, Eutrapela clemataria, Halysidota tessellaris, Heterocampa guttivitta, Hyphantria cunae, Lophocampa caryae, Lymantria dispar, Machimia tetoriferella, Macrurocampa marthesia, Melissopus latiferreanus, Nadata nasoni, Nematocampa limbata, Nematocampa resistaria, Orgyia leucostigma, Packardia elegans, Paleacrita vernata, Paranthrene simulans, Phryganidia californica, Phyllonorycter kearfottella, Phyllonorycter restrictella, Plagodis alcoolaria, Pleuroprucha insulsaria, Probole amicaria, Prolimacodes badia, Psilocorsis cryptolechiella, Psilocorsis quercicella, Sabulodes caberata, Satyrium calanus, Satyrium caryaevorum, Satyrium liparops, Schizura concinna, Schizura leptinoides, Scolecocampa liburna, Spilosoma virginica, Stigmella castaneaefoliella, Stigmella latifasciella, Swammerdamia caesilla, Symmerista albifrons, Synanthedon castaneae, Tetracis crocallata",,,Yes
155,Castanea pumila,CAPU9,1,1,1,0,1,4,0,Go Native Trees,PlantMoreNatives.com,Longwood Gardens,No,,6.2,No,Yes,No,"Tree, Shrub",Castanea pumila,Chinquapin,Fagaceae,L48 (N),"AL, AR, DC, DE, FL, GA, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV",Pollinator,Yellow,No,Apr–May,20,Short,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,4.5–6.6,Low,Moderate,"Spring, Summer",Low,Yes,High,High,High/Low,"Seed, Container, Bare root",Available 2017,Medium,Adult Food; Larval Food,Butterflies; Larval Host (Moth); Wind,,,,,,Yes,,,,,Yes,"Ancylis burgessiana, Anisota senatoria, Anisota stigma, Antheraea polyphemus polyphemus, Dyseriocrania auricyanea, Eacles imperialis, Grammia phyllira, Hyphantria cunae, Neurobathra strigifinitella, Orgyia leucostigma, Spragueia onagrus",,,Yes
156,Castilleja coccinea,CACO17,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.2,Yes,No,Yes,Herb (annual),Castilleja coccinea,Indian Paintbrush,Scrophulariaceae,"L48 (N), CAN (N)","AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, WI, WV",Workhorse/Pollinator,Red,Yes,Jul–Sep,1–1.5,,Single Crown,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist, Dry",Medium,,Low,4.9–6.8,Low,Rapid,"Spring, Summer",None,No,Low,None,,Seed,Available 2017,Medium,Adult Food,Native Bees; Bombus; Hummingbirds,Yes,Yes,,,,,,,,,,,Yes,,
157,Catalpa bignonioides,CABI8,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Tree,Catalpa bignonioides,Southern Catalpa,Bignoniaceae,"L48 (N), CAN (I)","AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WV",Pollinator,White,Yes,Apr–May,70,Long,Single Crown,Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,5.5–7.5,Medium,Rapid,Spring,Low,Yes,Medium,None,Medium/Medium,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Ceratomia catalpae, Hyphantria cunae, Orgyia leucostigma, Papilio glaucus glaucus",,,
158,Catalpa speciosa,CASP8,1,1,1,0,2,5,0,"Gino's Newtown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Tree,Catalpa speciosa,Northern Catalpa,Bignoniaceae,"L48 (N), CAN (I)","AL, AR, CO, CT, DC, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, WI, WV",Pollinator,White,Yes,Jun–Jul,40–80,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Low,,Low,5.5–7,Medium,Rapid,Spring,None,Yes,Medium,None,Low/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Ceratomia catalpae, Hyphantria cunae, Olceclostera seraphica, Orgyia leucostigma, Paleacrita vernata",,,
159,Caulophyllum thalictroides,CATH2,1,1,1,0,5,4,0,"Bowman's New Hope, Edge ot Woods Orefield, Keystone Robesonia, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.6,Yes,No,No,Herb (perennial),Caulophyllum thalictroides,Blue Cohosh,Berberidaceae,"L48 (N), CAN (N)","AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Workhorse/Pollinator,Purple,No,Jun–Aug,2.5,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist",Medium,Medium,None,4.5–7,High,Moderate,"Spring, Summer",None,No,Low,Low,Low/Low,"Container, Bare root, Sprig, Corm",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,Yes,,Yes,,,,,,,Yes,Crocigrapha normani,,,
160,Ceanothus americanus,CEAM,1,1,1,0,9,5,0,"Archewild Quakertown, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,9.0,Yes,Yes,Yes,Shrub,Ceanothus americanus,New Jersey Tea,Rhamnaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,White,Yes,Jun–Jul,3–4,Moderate,Multiple Stem,Semi-Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,High,4.3–6.5,Low,Slow,"Spring, Summer",Low,Yes,High,Medium,Medium/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Bucculatrix anaticula, Celastrina argiolus lucia/neglecta, Celastrina ladon, Erastria coloraria, Erastria cruentaria, Erynnis martialis, Hyalophora euryalus, Lyonetia speculella, Periploca ceanothiella, Recurvaria consimilis",Yes,,
161,Celastrus scandens,CESC,1,1,1,0,3,4,0,"Earthbound Ephrata, Gino's Newtown, Go Native Trees",PlantMoreNatives.com,Longwood Gardens,No,,7.6,Yes,No,No,Vine,Celastrus scandens,American Bittersweet,Celastraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY",Workhorse/Pollinator,Yellow–white,No,Apr–May,48,Moderate,Thicket Forming,Columnar,Color,Deciduous,"Sun, Part Shade",Dry,High,,None,5–7.5,Medium,Rapid,"Spring, Summer",None,No,Medium,High,Low/Low,"Seed, Container, Bare root",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,,,,,,Yes,"Eutrapela clemataria, Pleromelloida conserta, Samia cynthia cynthia, Zelleria calastrusella",,,
162,Celtis occidentalis,CEOC,1,1,1,0,7,5,0,"Archewild Quakertown, Bowman's New Hope, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Musser Indiana, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,8.2,No,Yes,No,Tree,Celtis occidentalis,Common Hackberry,Ulmaceae,"L48 (N), CAN (N)","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY",Workhorse/Pollinator,Green,No,Apr–May,60,Moderate,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Low,,Low,6–7.8,Medium,Rapid,"Spring, Summer",Medium,Yes,High,Low,Medium/Low,"Seed, Container, Bare root, Cutting",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acronicta rubricoma, Alsophila pometaria, Anisota virginiensis, Asterocampa celtis, Asterocampa clyton, Asterocampa clyton clyton, Choristoneura rosaceana, Hyphantria cunae, Libytheana bachmanii, Libytheana carinenta, Lophocampa caryae, Lymantria dispar, Megalopyge opercularis, Nephopterix celtidella, Nymphalis antiopa, Orgyia leucostigma, Paleacrita vernata, Phyllodesma americana, Phyllonorycter celtifoliella, Phyllonorycter celtisella, Polygonia comma, Polygonia inerrogationis, Sphinx drupiferarum, Thorybes ephemeraeformis, Zeuzera pyrina",,,Yes
163,Celtis tenuifolia,CETE,1,1,0,0,1,4,0,Go Native Trees,PlantMoreNatives.com,Longwood Gardens,No,,3.2,No,Yes,No,"Tree, Shrub",Celtis tenuifolia,Dwarf Hackberry,Ulmaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, FL, GA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV",Pollinator,,No,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Asterocampa celtis, Asterocampa clyton, Asterocampa clyton clyton, Heterocampa subrotata, Libytheana carinenta",,,Yes
